"pid","popgrp","mar","rel","geo2011","ppincome","hhsizer","age","anni_convivenza","anni_istruzione"
323759,2,2,2,2,2018.07845052083,3,39,12,6
689904,4,1,2,2,8166.66666666667,3,54,32,10
314960,1,2,6,2,793.333333333333,3,35,1,11
760065,1,2,2,2,793.333333333333,3,35,1,11
679751,4,1,2,2,14250,4,51,27,16
391213,1,2,2,2,286.666666666667,3,38,10,16.5
772723,1,2,2,2,286.666666666667,3,31,10,11
321416,2,1,2,2,1613.33333333333,6,51,10,8
310320,1,1,2,2,3275.775390625,6,35,13,12
582914,1,1,2,2,3275.775390625,6,48,12,15
776869,1,1,6,1,893.895833333333,6,50,11,5
302488,1,1,2,1,893.895833333333,6,40,3,8
707075,1,1,2,1,893.895833333333,6,41,11,8
731596,1,2,2,1,1405.71428571429,7,60,32,6
301608,1,1,2,1,1189.72265625,5,41,13,9
309085,1,1,1,1,1189.72265625,5,45,13,8
706997,1,2,2,2,541.666666666667,6,36,6,11
302295,1,2,2,2,541.666666666667,6,33,6,11
716216,1,1,2,2,908.045654296875,8,79,57,0
792851,1,1,2,2,908.045654296875,8,74,57,0
752158,2,1,2,2,3666.66666666667,3,28,3,12.5
798555,2,2,2,2,871.428571428571,7,52,5,7
305627,1,2,6,1,687.5,4,46,20,5
305605,1,2,2,1,687.5,4,39,20,0
311412,1,1,2,2,11000,4,37,7,12.5
720276,1,1,2,2,11000,4,43,7,15
773267,1,1,2,2,500,4,61,38,6
795204,1,1,1,2,500,4,62,38,7
303437,1,1,2,1,315,18,58,28,3
303436,1,1,2,1,315,18,63,28,7
314093,1,1,6,2,5322.6,5,36,4,12
752747,1,1,2,2,5322.6,5,36,3,12
753528,1,1,2,1,8950,4,62,35,12
582341,1,2,2,3,914.511555989583,3,31,2,10
660046,2,1,2,2,22500,2,59,11,15
641357,1,1,2,2,22500,2,64,11,12.5
724089,1,1,2,1,326,5,37,6,9.5
302351,1,1,1,1,326,5,36,6,8
644471,4,1,2,2,15146.9248046875,4,48,23,18.5
689279,4,1,2,2,15146.9248046875,4,50,23,16
746237,1,2,2,1,1135,4,25,4,11
303882,1,1,2,2,2366.66666666667,3,33,14,9
305549,1,1,1,2,2366.66666666667,3,45,14,11
731321,2,1,2,2,3916.66666666667,6,33,9,12
733982,2,1,2,2,3916.66666666667,6,40,9,12
314159,1,1,2,1,415.001302083333,9,50,32,8
314165,1,1,2,1,415.001302083333,9,63,30,4
724907,1,1,6,1,818.75,8,81,54,0
724908,1,1,2,1,818.75,8,77,54,0
321622,1,1,2,1,818.75,8,34,9,10
714474,1,2,2,1,2081.8974609375,3,31,2,13.5
311884,1,2,6,1,2081.8974609375,3,43,2,12.5
310397,1,2,2,3,2300,1,58,50,0
314010,1,1,2,1,666.666666666667,6,61,10,0
316891,1,1,2,1,666.666666666667,6,72,10,0
322642,2,1,2,3,2460.28043619792,3,57,30,0
591489,2,1,2,3,2460.28043619792,3,60,30,3
316944,1,1,2,1,774.55703125,15,61,33,8
316212,1,1,2,1,774.55703125,15,65,20,3
675863,3,1,1,2,4066.66666666667,3,45,8,12
311864,1,1,2,1,888.44423828125,10,69,49,4
313609,1,1,2,1,888.44423828125,10,75,49,5
320624,1,1,2,2,237.5,4,46,15,11
306502,1,2,2,1,2585,4,34,10,9.5
306571,1,2,2,1,2585,4,32,10,13.5
740533,1,1,2,1,1100,5,64,35,8
310907,1,1,6,1,1100,5,71,35,4
712782,1,2,2,1,1192.45080566406,4,43,16,12
732267,1,2,2,1,1192.45080566406,4,36,16,8
745434,2,1,2,2,5000,6,55,17,7
705608,2,1,2,2,5000,6,50,17,10
725556,1,1,6,1,410,6,33,10,7
582733,1,1,6,1,410,6,68,10,9
312931,1,1,6,1,617.839965820312,6,71,31,5
314087,1,1,6,1,617.839965820312,6,62,31,6
314086,1,1,6,1,617.839965820312,6,42,5,8
780591,1,1,2,2,1500,4,31,7,13.5
